X,Long,Lat,AreaSKM,Perimeter KM,HII,Elevation_m,County,siteid,sitenames,inMod,WDFWDetection,WDFWReproDetection,WDFWsurvey,eBirdDetect,Percent Canopy Cover,River Indicator,Perimeter Complexity,NLCDCode,Forest Type,Developed Type,Other Type,Open water Type
1,-122.24544,47.61957,89,200.1066027,0,7,King,1,LAKE WASHINGTON-King,1,0,0,0,1,0,0,21.21125746,11,0,0,0,1
2,-120.50385,46.93871,0.25,4.743694866,32,439,Kittitas,2,YAKIMA RIVER-Kittitas,1,0,0,0,0,0,1,9.487389732,11,0,0,0,1
3,-122.08868,47.60235,19.637,47.36996783,46,-11,King,3,LAKE SAMMAMISH-King,1,0,0,0,1,0,0,10.68970006,11,0,0,0,1
4,-122.24544,47.61957,89,200.1066027,0,7,King,4,LAKE UNION-King,1,0,0,0,0,0,0,21.21125746,11,0,0,0,1
5,-121.56437,45.69238,78.48903252,330.687422,46,195,Skamania,5,DRANO LAKE-Skamania,1,0,0,0,0,0,0,37.32614927,21,0,1,0,0
6,-122.26296,47.3897,0.04343346,3.016977385,42,9,King,6,ANGLE LAKE-King,1,0,0,0,0,0,0,14.47637554,11,0,0,0,1
7,-122.75928,45.79763,0.06319238,9.957754499,18,4,Clark,7,COLUMBIA RIVER-Clark,1,0,0,0,1,0,1,39.61220872,95,0,0,0,1
8,-120.58239,47.00451,0.058,2.148468443,46,465,Kittitas,8,MATTOON LAKE-Kittitas,1,0,0,0,0,34,0,8.921029639,95,0,0,0,1
9,-119.91143,46.83007,0.17036121,5.156363358,19,155,Grant,9,NUNNALLY LAKE-Kittitas,1,0,0,0,1,0,0,12.49275306,11,0,0,0,1
10,-118.24095,48.62723,0.046,2.297415614,9,1086,Ferry,10,FRANKLIN D. ROOSEVELT LAKE-Ferry,1,0,0,0,0,0,0,10.71175553,11,0,0,0,1
11,-121.73479,46.96622,0.04982727,1.307763758,5,1349,Pierce,11,HIDDEN LAKE-Pierce,1,0,0,0,0,0,0,5.858625683,11,0,0,0,1
12,-122.27125,47.36624,0.07,2.882847742,42,43,King,12,LAKE FENWICK-King,1,0,0,0,0,0,0,10.89614027,11,0,0,0,1
13,-117.28996,48.81496,5.18583754,21.18751892,13,786,Pend Oreille,13,SULLIVAN LAKE-Pend Oreille,1,0,0,0,1,0,0,9.30402031,11,0,0,0,1
14,-117.41828,48.73499,0.128,3.713148332,37,634,Pend Oreille,14,PEND OREILLE RIVER-Pend Oreille,1,0,0,0,1,0,1,10.3785651,11,0,0,0,1
15,-121.17882,46.63936,10.30613074,54.27335012,11,967,Yakima,15,GREEN LAKE-Yakima,1,0,0,0,0,0,0,16.90591987,11,0,0,0,1
16,-121.72999,46.76952,0.067,1.815778936,13,1510,Lewis,16,LOUISE LAKE-Pierce,1,0,0,0,0,0,0,7.01496603,11,0,0,0,1
17,-121.28075,46.62909,0.93960057,11.27434742,15,911,Yakima,17,CLEAR LAKE-Yakima,1,0,0,0,1,0,0,11.63107289,11,0,0,0,1
18,-121.29526,48.65262,0.05902243,1.695060838,14,147,Whatcom,18,SKAGIT RIVER-Whatcom,1,0,0,0,0,0,1,6.977128912,11,0,0,0,1
19,-122.75843,45.84142,0.84599728,30.86671552,34,8,Clark,19,CANVASBACK LAKE-Clark,1,0,0,0,0,30,0,33.55876238,52,0,0,1,0
20,-122.44806,47.11013,1.006,11.22461406,42,104,Pierce,20,SPANAWAY LAKE-Pierce,1,0,0,0,0,0,0,11.191091,11,0,0,0,1
21,-119.42593,46.35477,0.144,3.103400708,12,155,Benton,21,YAKIMA RIVER-Benton,1,0,0,0,1,0,1,8.178178942,11,0,0,0,1
22,-119.14207,46.22497,16.94660138,104.1554561,52,103,Walla Walla,22,COLUMBIA RIVER-Benton,1,0,0,0,1,0,1,25.3011766,11,0,0,0,1
23,-119.03652,46.03815,106.6063896,261.1544135,9,432,Walla Walla,23,LAKE WALLULA-Walla Walla,1,0,0,0,1,0,0,25.29331496,52,0,0,1,0
24,-119.19191,47.80584,108.773664,325.13289,7,659,Grant,24,BANKS LAKE-Grant,1,0,0,0,1,0,0,31.17446618,11,0,0,0,1
25,-120.67849,46.81839,0.366,5.089268247,11,585,Yakima,25,WENAS LAKE-Yakima,1,0,0,0,1,0,0,8.412300923,11,0,0,0,1
26,-119.40936,47.58469,1.368,16.85636315,9,337,Grant,26,DEEP LAKE-Grant,1,0,0,0,0,0,0,14.41188641,52,0,0,1,0
27,-122.17087,47.99086,0.129,2.132562015,50,2,Snohomish,27,SNOHOMISH RIVER-Snohomish,1,0,0,0,1,0,1,5.937543634,11,0,0,0,1
28,-122.90803,47.03345,1.08528772,15.06690818,50,31,Thurston,28,CAPITOL LAKE-Thurston,1,0,0,0,0,0,0,14.46277724,11,0,0,0,1
29,-118.52763,46.64538,0.555,6.61719791,17,267,Franklin,29,LAKE KAHLOTUS-Franklin,1,0,0,0,0,0,0,8.882344892,95,0,0,0,1
30,-122.74583,45.80376,0.08277852,2.846499917,44,4,Clark,30,LEWIS RIVER-Clark,1,0,0,0,0,0,1,9.893554418,71,0,0,1,0
31,-121.56437,45.69238,78.48903252,330.687422,46,195,Skamania,31,COLUMBIA RIVER-Klickitat,1,0,0,0,1,0,1,37.32614927,21,0,1,0,0
32,-121.62079,46.13284,0.114,2.822950113,0,1059,Skamania,32,TROUT LAKE-Klickitat,1,0,0,0,0,74,0,8.360856656,90,0,0,0,1
33,-121.59648,46.27815,0.132,2.076366754,4,1363,Skamania,33,OLALLIE LAKE-Skamania,1,0,0,0,0,0,0,5.715011398,11,0,0,0,1
34,-121.46565,46.36852,0.386,4.137764574,6,1348,Yakima,34,TWO LAKES-Yakima,1,0,0,0,0,0,0,6.659967728,11,0,0,0,1
35,-122.76893,45.81174,0.07370556,3.452106874,28,6,Clark,35,LANCASTER LAKE-Clark,1,0,0,0,0,33,0,12.71551948,95,0,0,0,1
36,-118.40021,46.58868,17.29397139,106.2367228,17,207,Whitman,36,GRAND RHONDE RIVER-Asotin,1,0,0,0,0,0,1,25.54625817,71,0,0,1,0
37,-122.47841,47.06189,0.079,3.378241383,26,119,Pierce,37,CHAMBERS LAKE-Pierce,1,0,0,0,0,30,0,12.01924345,95,0,0,0,1
38,-122.85156,47.52269,0.408,4.32525126,18,167,Kitsap,38,PANTHER LAKE-Kitsap,1,0,0,0,0,0,0,6.77144351,11,0,0,0,1
39,-118.90383,46.12657,0.13251752,2.339292339,47,134,Walla Walla,39,WALLA WALLA/COLUMBIA RIVER-Walla Walla,1,0,0,0,1,0,1,6.426105461,52,0,0,1,0
40,-122.97802,46.99236,2.322,14.23376597,42,45,Thurston,40,BLACK LAKE-Thurston,1,0,0,1,1,0,0,9.340899793,11,0,0,0,1
41,-121.17882,46.63936,10.30613074,54.27335012,11,967,Yakima,41,RIMROCK LAKE-Yakima,1,0,0,0,1,0,0,16.90591987,11,0,0,0,1
42,-122.27192,46.9146,0.05,1.706559215,14,245,Pierce,42,HORSESHOE LAKE-Pierce,1,0,0,0,0,54,0,7.631964826,11,0,0,0,1
43,-118.40021,46.58868,17.29397139,106.2367228,17,207,Whitman,43,SNAKE RIVER-Franklin,1,0,0,0,0,0,1,25.54625817,71,0,0,1,0
44,-121.36819,47.34865,9.74697661,35.28857294,19,755,Kittitas,44,KEECHELUS LAKE-Kittitas,1,0,0,0,1,0,0,11.30314071,11,0,0,0,1
45,-120.70457,47.83454,2.007,11.52102314,6,588,Chelan,45,FISH LAKE-Chelan,1,0,0,0,1,0,0,8.132374366,11,0,0,0,1
46,-117.85634,47.03128,0.093,2.890425431,6,522,Whitman,46,TEXAS LAKE-Whitman,1,0,0,0,0,0,0,9.478078371,95,0,0,0,1
47,-120.7772,47.82267,9.74601138,32.24302192,6,577,Chelan,47,LAKE WENATCHEE-Chelan,1,0,0,0,1,0,0,10.32814393,11,0,0,0,1
48,-121.72999,46.76952,0.067,1.815778936,13,1510,Lewis,48,FAN LAKE-Pierce,1,0,0,0,0,0,0,7.01496603,11,0,0,0,1
49,-122.74441,45.89622,0.337,7.194443844,46,11,Cowlitz,49,COLUMBIA RIVER-Cowlitz,1,0,0,0,1,45,1,12.39316628,81,0,1,0,0
50,-119.55255,48.81031,1.268,15.75477422,14,456,Okanogan,50,SPECTACLE LAKE-Okanogan,1,0,0,0,0,0,0,13.99112243,81,0,1,0,0
51,-119.66298,48.74902,0.16144833,3.670422157,17,461,Okanogan,51,CONNERS LAKE-Okanogan,1,0,0,0,0,0,0,9.134804126,11,0,0,0,1
52,-119.25919,48.82754,0.107,3.122390944,10,984,Okanogan,52,MUSKRAT LAKE-Okanogan,1,0,0,0,1,0,0,9.545427641,11,0,0,0,1
53,-119.34364,47.0126,57.837727,955.8134914,8,316,Grant,53,POTHOLES RESERVOIR-Grant,1,0,0,0,1,0,0,125.6803981,11,0,0,0,1
54,-122.93376,47.88158,0.241,4.636701717,12,342,Jefferson,54,LORDS LAKE EAST DAM-Jefferson,1,0,0,0,0,0,0,9.444971177,11,0,0,0,1
55,-120.40838,46.48299,0.052,2.019358429,46,271,Yakima,55,YAKIMA RIVER-Yakima,1,0,0,0,0,0,1,8.855472519,11,0,0,0,1
56,-123.81816,48.06794,20.32306839,56.63407558,15,570,Clallam,56,LAKE CRESCENT-Clallam,1,0,0,0,0,81,0,12.56270543,43,1,0,0,0
57,-122.76677,46.86744,0.444,7.408395555,26,144,Thurston,57,MCENNIERY LAKE-Thurston,1,0,0,0,0,0,0,11.1181538,11,0,0,0,1
58,-119.41254,48.81746,0.056,2.636543928,14,273,Okanogan,58,OKANOGAN RIVER-Okanogan,1,0,0,0,1,50,1,11.14143159,95,0,0,0,1
59,-117.20115,48.12809,3.048,16.98273087,32,712,Pend Oreille,59,DIAMOND LAKE-Pend Oreille,1,0,0,0,0,0,0,9.727473269,11,0,0,0,1
60,-122.8046,47.00477,0.096,1.895564082,46,61,Thurston,60,SOUTHWICK LAKE-Thurston,1,0,0,0,0,0,0,6.117906769,11,0,0,0,1
61,-122.4568,47.19573,0.107,2.947019719,60,106,Pierce,61,LITTLE WAPATO LAKE-Pierce,1,0,0,0,0,0,0,9.009302162,11,0,0,0,1
62,-122.24731,47.0358,0.052,1.568364101,43,239,Pierce,62,PUYALLUP RIVER-Pierce,1,0,0,0,0,29,1,6.877731562,95,0,0,0,1
63,-122.14755,47.10285,0.051,2.384024317,35,97,Pierce,63,CARBON RIVER-Pierce,1,0,0,0,0,0,1,10.55663711,11,0,0,0,1
64,-121.57471,48.402,0.053783,1.521206168,14,198,Skagit,64,SKAGIT RIVER-Skagit,1,0,0,0,0,0,1,6.559421907,11,0,0,0,1
65,-117.57616,47.43403,0.043,1.704281919,20,700,Spokane,65,PHILLEO LAKE-Spokane,1,0,0,0,0,0,0,8.218777225,71,0,0,1,0
66,-122.26727,46.77918,11.1933513,74.71614003,14,397,Pierce,66,ALDER LAKE-Pierce,1,0,0,0,0,80,0,22.33234664,43,1,0,0,0
67,-121.32732,46.85068,5.4783788,28.00897459,11,1155,Yakima,67,BUMPING LAKE-Yakima,1,0,0,0,0,0,0,11.96661119,11,0,0,0,1
68,-122.08868,47.60235,19.637,47.36996783,46,-11,King,68,PHANTOM LAKE-King,1,0,0,0,0,0,0,10.68970006,11,0,0,0,1
69,-119.91143,46.83007,0.17036121,5.156363358,19,155,Grant,69,COLUMBIA RIVER-Kittitas,1,0,0,0,1,0,1,12.49275306,11,0,0,0,1
70,-118.259,46.68655,0.05,1.490510535,13,361,Franklin,70,SNAKE/PALOUSE RIVER-Franklin,1,0,0,0,1,0,1,6.665765756,11,0,0,0,1
