"","EffortDate","STARTTIME","ENDTIME","EffortSource","Lat_SPNAD83HARN","Long_SPNAD83HARN","CountyName","SiteName","Quantity","LifeStage","OCCPRODCODE","OccProdCode_Desc","obsOCC","duration_minutes","day","month","year"
"1","6/6/17","","","WDFW survey",48.72742722,-117.5530411,"Pend Oreille","BIG MEADOW LAKE 2",2,"Adult",6,"Nest occupied, active (breeding)",2,NA,6,6,17
"2","6/14/17","","","WDFW survey",48.72742722,-117.5530411,"Pend Oreille","BIG MEADOW LAKE 2",2,"Adult",6,"Nest occupied, active (breeding)",2,NA,14,6,17
"3","8/9/17","","","WDFW survey",48.72742722,-117.5530411,"Pend Oreille","BIG MEADOW LAKE 2",2,"Adult",50,"Productivity unsuccessful or nest empty",1,NA,9,8,17
"4","5/31/17","15:20","16:00","WDFW survey",48.566236,-117.626416,"Stevens","BLACK LAKE - STEVENS CO.",2,"Egg",6,"Nest occupied, active (breeding)",2,40,31,5,17
"5","5/31/17","15:20","16:00","WDFW survey",48.566236,-117.626416,"Stevens","BLACK LAKE - STEVENS CO.",2,"Adult",6,"Nest occupied, active (breeding)",2,40,31,5,17
"6","6/20/17","10:00","12:00","WDFW survey",48.566236,-117.626416,"Stevens","BLACK LAKE - STEVENS CO.",1,"Juvenile",60,"Productivity successful, number of young known",2,120,20,6,17
"7","6/20/17","10:00","12:00","WDFW survey",48.566236,-117.626416,"Stevens","BLACK LAKE - STEVENS CO.",2,"Adult",60,"Productivity successful, number of young known",2,120,20,6,17
"8","8/2/17","12:00","13:00","WDFW survey",48.566236,-117.626416,"Stevens","BLACK LAKE - STEVENS CO.",1,"Adult",60,"Productivity successful, number of young known",2,60,2,8,17
"9","8/2/17","12:00","13:00","WDFW survey",48.566236,-117.626416,"Stevens","BLACK LAKE - STEVENS CO.",1,"Juvenile",60,"Productivity successful, number of young known",2,60,2,8,17
"10","6/20/17","","","WDFW survey",48.57625891,-117.5537516,"Stevens","COFFIN LAKE",1,"Adult",4,"Single bird, nest unrepaired or pair not near known nest site",1,NA,20,6,17
"11","6/7/17","10:30","11:30","WDFW survey",48.98688225,-117.3125975,"Pend Oreille","CRESCENT LAKE",1,"Adult",4,"Single bird, nest unrepaired or pair not near known nest site",1,60,7,6,17
"12","6/23/17","9:30","12:00","WDFW survey",48.73704572,-118.667629,"Ferry","CURLEW LAKE",6,"Adult",5,"Nest occupied, activity unknown",1,150,23,6,17
"13","6/26/17","10:00","11:00","WDFW survey",48.7384756,-118.2307344,"Ferry","DAVIS LAKE - FERRY COUNTY",NA,"",8,"Nest unoccupied, no birds, nest unrepaired",0,60,26,6,17
"14","6/29/17","13:00","14:00","WDFW survey",48.81054095,-118.7129246,"Ferry","EMPIRE LAKE",NA,"",8,"Nest unoccupied, no birds, nest unrepaired",0,60,29,6,17
"15","5/31/17","11:30","12:30","WDFW survey",48.05564431,-117.4066635,"Pend Oreille","FAN LAKE",NA,"",3,"Nest occupancy unknown",0,60,31,5,17
"16","6/5/17","","","WDFW survey",48.52252648,-118.8146307,"Ferry","FERRY LAKE",2,"Adult",6,"Nest occupied, active (breeding)",2,NA,5,6,17
"17","8/8/17","10:00","10:00","WDFW survey",48.52252648,-118.8146307,"Ferry","FERRY LAKE",1,"Juvenile",60,"Productivity successful, number of young known",2,0,8,8,17
"18","8/8/17","10:00","10:00","WDFW survey",48.52252648,-118.8146307,"Ferry","FERRY LAKE",2,"Adult",60,"Productivity successful, number of young known",2,0,8,8,17
"19","6/7/17","13:00","14:00","WDFW survey",48.91737252,-117.3554387,"Pend Oreille","LEDBETTER LAKE",2,"Adult",5,"Nest occupied, activity unknown",1,60,7,6,17
"20","8/10/17","14:00","14:30","WDFW survey",48.91737252,-117.3554387,"Pend Oreille","LEDBETTER LAKE",NA,"",10,"",0,30,10,8,17
"21","6/5/17","","","WDFW survey",48.50009737,-118.812501,"Ferry","LONG LAKE 5",2,"Adult",6,"Nest occupied, active (breeding)",2,NA,5,6,17
"22","6/5/17","","","WDFW survey",48.50009737,-118.812501,"Ferry","LONG LAKE 5",2,"Juvenile",6,"Nest occupied, active (breeding)",2,NA,5,6,17
"23","8/8/17","11:40","12:35","WDFW survey",48.50009737,-118.812501,"Ferry","LONG LAKE 5",2,"Adult",60,"Productivity successful, number of young known",2,55.0000000000001,8,8,17
"24","8/8/17","11:40","12:35","WDFW survey",48.50009737,-118.812501,"Ferry","LONG LAKE 5",1,"Juvenile",60,"Productivity successful, number of young known",2,55.0000000000001,8,8,17
"25","6/10/17","14:30","15:30","WDFW survey",48.65680349,-117.4725139,"Pend Oreille","NILE LAKE 2",NA,"",8,"Nest unoccupied, no birds, nest unrepaired",0,60,10,6,17
"26","6/6/17","14:00","15:00","WDFW survey",48.40469527,-117.1813333,"Pend Oreille","NORTH SKOOKUM LAKE",NA,"",8,"Nest unoccupied, no birds, nest unrepaired",0,60,6,6,17
"27","6/6/17","","","WDFW survey",48.39268801,-117.1818421,"Pend Oreille","SOUTH SKOOKUM LAKE",NA,"",8,"Nest unoccupied, no birds, nest unrepaired",0,NA,6,6,17
"28","6/2/17","10:30","14:30","WDFW survey",48.91175392,-118.1412812,"Stevens","PIERRE LAKE 2",2,"Adult",6,"Nest occupied, active (breeding)",2,240,2,6,17
"29","8/10/17","11:45","12:50","WDFW survey",48.91175392,-118.1412812,"Stevens","PIERRE LAKE 2",2,"Juvenile",60,"Productivity successful, number of young known",2,65,10,8,17
