EffortDate,STARTTIME,ENDTIME,EffortSource,Lat_SPNAD83HARN,Long_SPNAD83HARN,LocAccuracy,CountyName,SiteName,Quantity,LifeStage,OCCPRODCODE,OccProdCode_Desc
6/6/17,,,WDFW survey,48.72742722,-117.5530411,10,Pend Oreille,BIG MEADOW LAKE 2,2,Adult,6,"Nest occupied, active (breeding)"
6/14/17,,,WDFW survey,48.72742722,-117.5530411,10,Pend Oreille,BIG MEADOW LAKE 2,2,Adult,6,"Nest occupied, active (breeding)"
8/9/17,,,WDFW survey,48.72742722,-117.5530411,10,Pend Oreille,BIG MEADOW LAKE 2,2,Adult,50,Productivity unsuccessful or nest empty
5/31/17,15:20,16:00,WDFW survey,48.566236,-117.626416,660,Stevens,BLACK LAKE - STEVENS CO.,2,Egg,6,"Nest occupied, active (breeding)"
5/31/17,15:20,16:00,WDFW survey,48.566236,-117.626416,660,Stevens,BLACK LAKE - STEVENS CO.,2,Adult,6,"Nest occupied, active (breeding)"
6/20/17,10:00,12:00,WDFW survey,48.566236,-117.626416,660,Stevens,BLACK LAKE - STEVENS CO.,1,Juvenile,60,"Productivity successful, number of young known"
6/20/17,10:00,12:00,WDFW survey,48.566236,-117.626416,660,Stevens,BLACK LAKE - STEVENS CO.,2,Adult,60,"Productivity successful, number of young known"
8/2/17,12:00,13:00,WDFW survey,48.566236,-117.626416,660,Stevens,BLACK LAKE - STEVENS CO.,1,Adult,60,"Productivity successful, number of young known"
8/2/17,12:00,13:00,WDFW survey,48.566236,-117.626416,660,Stevens,BLACK LAKE - STEVENS CO.,1,Juvenile,60,"Productivity successful, number of young known"
6/20/17,,,WDFW survey,48.57625891,-117.5537516,33,Stevens,COFFIN LAKE,1,Adult,4,"Single bird, nest unrepaired or pair not near known nest site"
6/7/17,10:30,11:30,WDFW survey,48.98688225,-117.3125975,1320,Pend Oreille,CRESCENT LAKE,1,Adult,4,"Single bird, nest unrepaired or pair not near known nest site"
6/23/17,9:30,12:00,WDFW survey,48.73704572,-118.667629,1320,Ferry,CURLEW LAKE,6,Adult,5,"Nest occupied, activity unknown"
6/26/17,10:00,11:00,WDFW survey,48.7384756,-118.2307344,33,Ferry,DAVIS LAKE - FERRY COUNTY,,,8,"Nest unoccupied, no birds, nest unrepaired"
6/29/17,13:00,14:00,WDFW survey,48.81054095,-118.7129246,33,Ferry,EMPIRE LAKE,,,8,"Nest unoccupied, no birds, nest unrepaired"
5/31/17,11:30,12:30,WDFW survey,48.05564431,-117.4066635,5280,Pend Oreille,FAN LAKE,,,3,Nest occupancy unknown
6/5/17,,,WDFW survey,48.52252648,-118.8146307,33,Ferry,FERRY LAKE,2,Adult,6,"Nest occupied, active (breeding)"
